hash	message
67b4634	feat: add link
fb6ffd6	feat: update page title
266ae12	feat: update resume size
e5e5fab	feat: update resume
03d4668	feat: update resume
dee284e	feat: update link
5640ede	feat: copy
51a5fac	style: increase padding
f405073	feat: update header
d5197e3	feat: add elsewhere
00b75f3	feat: copy
e410b6c	feat: copy
b20c208	style: add link
0712cbe	style: rename
b0c76e0	feat: update bio
52cd054	feat: clean up archive
0e222a0	feat: delete about
2a4e98e	feat: archive carbon price tag and lgbtabc
57cfd76	feat: femfest
c8a2a8a	style: rename
5729d15	feat: update resume
299d9ae	style: rename
944fbd1	chore: update Gemfile
20b92be	chore: update gitignore
b8c0f60	feat: add epistles
48ef41c	chore: use lazy loading for images
ba80e45	feat: update resume
8401515	feat: add original python image
8264ec8	feat: more images
edfabd7	feat: add descriptions
1ab53bd	feat: add process screenshots to simpsons
0965f16	feat: add description for distant destinations
5669165	chore: optimise images
43b9bea	feat: update resume
fbbb8ad	chore: archive images
94776b9	content: update index
c58f45d	style: padding
558654e	feat: rearrange based on better date specificity
5bab484	feat: archive four projects
5350fe2	feat: update wakingandsleeping
9918b9a	feat: simpsons
f2e772e	content: wrong year
00d941e	content: typo
f7ad52b	feat: distant destinations
37ee02d	copy: update year
5aab25b	feat: website carbon badge
0d3b22e	fix: typos
7f8b832	feat: add emotionspoem
4e65e4b	feat: add wakingandsleeping
75d01ff	chore: remove analytics
2f4e3aa	style: square images for standardisation
f95cf1d	style: tag ordering
6ec3594	style: padding at bottom
5529620	feat: add lgbtabc
4e7c774	chore: archive films
c1dbea5	feat: add faa
4c543fc	fix: quotation marks rendering
01735fd	fix: wording
34f30ec	style: color and svg styling
6b0db06	style: abbrs and other stylings
0a52b4b	feat: update bio
f691bb1	styles: fix responsive styles
cee8837	style: revert box sizing change
89df2c6	style: use icons for social instead of text
cc40595	style: fix mobile styles
59e5364	feat: update tagline
f303e24	style: use css variables
09dc030	chore: make print styles
f71db52	chore: accessibility fixes
27d3551	feat: update wording
5ae434b	fix: quoted strings
2c6392c	chore: update gitignore
6b3f2ee	chore: update gemfile
c2ace3a	feat: add twitter
6382195	fix: file name
2bbef84	refactor: standardise and minimise
6f4910e	feat: add letsgetgranular
397c501	chore: update gemfile
368cbd0	feat: update agloballanguage image
c4b30d0	feat: carbon price tag
cd8f21b	feat: add links
4d84e77	feat: add about
e082935	feat: update resume
7052fa4	feat: update and curate
bbb368e	feat: add chinese name
3b02785	feat: add/improve image alt text
405a6b7	feat: add rem description
81fde00	style: project intro box
2faeb17	feat: archive selected projects
39aa2b2	feat: tags and years
56aed85	style: project padding and width
fa1083e	style: tags
bd764e6	feat: add year to films
2540e6e	style: tags
a38621a	feat: arrange by year
ae9c1ee	feat: update index
ee214bc	chore: optimise image
da49372	feat: add bluebirds write-up and image
764240f	feat: add year to project pages
39a434c	feat: sort projects in reverse chronological order
e02eae1	refactor: automatically list all projects
de9448d	refactor: films as directories
282a15c	chore: improve tags front matter
21ff303	feat: add pages for films
436629d	fix: typo
12fe0e7	feat: update screensaver
5a0d785	feat: update resume
761d4df	feat: update resume
2554fc1	chore: update gems
e7f3f7d	chore: optimise images
c57f9fd	feat: update resume
5031661	feat: add resume
3a75469	feat: add link to resume
f04617d	feat: update bio
44e197d	feat: to the moon and back
d73f91f	feat: add Pinterest footer link
53b8d59	chore: add Pinterest claim
897a8af	fix: typo
a27b94f	fix: typo
9be66d2	fix: edit thesis description
9c497c9	feat: change ursula to thesis
8edeb75	feat: add UBC portfolio
d1aa55f	fix: typo
